scale,event_type,budget_sec,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
M,breakdown,5.0,B-CORE,5,1.000000,79.011724,7.085961,77.843280,79.011724,7.085961,0.000333
M,breakdown,5.0,B-CORE-no-bottleneck,5,1.000000,80.926509,6.737527,77.279019,80.926509,6.737527,0.000317
M,breakdown,5.0,B-CORE-no-graph,5,1.000000,79.011724,7.085961,77.843280,79.011724,7.085961,0.000322
M,breakdown,5.0,DCGA,5,1.000000,75.320454,7.296963,78.430876,75.320454,7.296963,5.013359
M,breakdown,5.0,GA,5,1.000000,79.569180,8.541017,81.201036,79.569180,8.541017,5.015491
M,breakdown,5.0,LNS,5,1.000000,78.767463,8.936484,81.391196,78.767463,8.936484,5.013692
M,breakdown,5.0,MOEA-NSGA2,5,1.000000,77.256190,6.033198,78.162869,77.256190,6.033198,5.008764
M,breakdown,5.0,MOR,5,1.000000,100.057937,4.236875,99.273012,100.057937,4.236875,0.000010
M,breakdown,5.0,MachineRank,5,1.000000,93.990849,8.767352,91.939054,93.990849,8.767352,0.000119
M,breakdown,5.0,SA,5,1.000000,85.182617,6.563484,86.386296,85.182617,6.563484,5.010813
M,mixed,0.1,B-CORE,5,1.000000,76.361847,6.036979,77.839603,76.361847,6.036979,0.000303
M,mixed,0.1,B-CORE-no-bottleneck,5,1.000000,75.433679,3.397153,75.528266,75.433679,3.397153,0.000335
M,mixed,0.1,B-CORE-no-graph,5,1.000000,76.361847,6.036979,77.839603,76.361847,6.036979,0.001244
M,mixed,0.1,DCGA,5,1.000000,97.163049,8.211885,97.058277,97.163049,8.211885,0.112366
M,mixed,0.1,GA,5,1.000000,96.954900,3.772243,96.033029,96.954900,3.772243,0.114417
M,mixed,0.1,LNS,5,1.000000,95.353080,9.801552,99.269104,95.353080,9.801552,0.111173
M,mixed,0.1,MOEA-NSGA2,5,1.000000,95.806748,6.539331,96.504369,95.806748,6.539331,0.226213
M,mixed,0.1,MOR,5,1.000000,98.688375,7.804036,100.122255,98.688375,7.804036,0.000011
M,mixed,0.1,MachineRank,5,1.000000,88.486920,1.172222,87.874390,88.486920,1.172222,0.000132
M,mixed,0.1,SA,5,1.000000,96.019180,3.883745,97.075859,96.019180,3.883745,0.111715
M,mixed,0.5,B-CORE,5,1.000000,76.361847,6.036979,77.839603,76.361847,6.036979,0.000310
M,mixed,0.5,B-CORE-no-bottleneck,5,1.000000,75.433679,3.397153,75.528266,75.433679,3.397153,0.000331
M,mixed,0.5,B-CORE-no-graph,5,1.000000,76.361847,6.036979,77.839603,76.361847,6.036979,0.000324
M,mixed,0.5,DCGA,5,1.000000,87.214352,11.340537,89.099835,87.214352,11.340537,0.516306
