scale,event_type,budget_sec,algorithm,mean_makespan,mean_p95_latency,mean_objective
M,rush_job,10.0,LNS,76.858264,9.216426,76.858264
M,rush_job,10.0,MOEA-NSGA2,73.408433,10.014234,73.408433
M,rush_job,10.0,MOR,94.050877,0.000010,94.050877
M,rush_job,10.0,MachineRank,88.418247,0.000094,88.418247
M,rush_job,10.0,SA,76.638705,9.125233,76.638705
M,rush_job,5.0,B-CORE,76.694122,0.000329,76.694122
M,rush_job,5.0,B-CORE-no-bottleneck,76.949574,0.000324,76.949574
M,rush_job,5.0,B-CORE-no-graph,76.694122,0.000329,76.694122
M,rush_job,5.0,DCGA,73.013586,5.014504,73.013586
M,rush_job,5.0,GA,73.395321,5.011404,73.395321
M,rush_job,5.0,LNS,80.136537,5.012105,80.136537
M,rush_job,5.0,MOEA-NSGA2,78.604002,5.011103,78.604002
M,rush_job,5.0,MOR,94.050877,0.000010,94.050877
M,rush_job,5.0,MachineRank,88.418247,0.000091,88.418247
M,rush_job,5.0,SA,84.147950,5.010871,84.147950
S,breakdown,0.1,B-CORE,49.452725,0.000203,49.452725
S,breakdown,0.1,B-CORE-no-bottleneck,53.290138,0.000177,53.290138
S,breakdown,0.1,B-CORE-no-graph,49.452725,0.000223,49.452725
S,breakdown,0.1,DCGA,54.788260,0.104094,54.788260
S,breakdown,0.1,GA,50.485453,0.103202,50.485453
S,breakdown,0.1,LNS,51.049166,0.103709,51.049166
S,breakdown,0.1,MOEA-NSGA2,49.492734,0.103853,49.492734
S,breakdown,0.1,MOR,61.335108,0.000007,61.335108
S,breakdown,0.1,MachineRank,56.361217,0.000062,56.361217
S,breakdown,0.1,SA,57.856650,0.102868,57.856650
S,breakdown,0.5,B-CORE,49.452725,0.000239,49.452725
S,breakdown,0.5,B-CORE-no-bottleneck,53.290138,0.000224,53.290138
S,breakdown,0.5,B-CORE-no-graph,49.452725,0.000237,49.452725
S,breakdown,0.5,DCGA,49.324380,0.503514,49.324380
S,breakdown,0.5,GA,48.098073,0.503755,48.098073
S,breakdown,0.5,LNS,50.315739,0.503955,50.315739
S,breakdown,0.5,MOEA-NSGA2,49.210287,0.503578,49.210287
S,breakdown,0.5,MOR,61.335108,0.000008,61.335108
S,breakdown,0.5,MachineRank,56.361217,0.000068,56.361217
S,breakdown,0.5,SA,53.227245,0.503246,53.227245
S,breakdown,1.0,B-CORE,49.452725,0.000221,49.452725
S,breakdown,1.0,B-CORE-no-bottleneck,53.290138,0.000211,53.290138
S,breakdown,1.0,B-CORE-no-graph,49.452725,0.000219,49.452725
S,breakdown,1.0,DCGA,46.721227,1.003989,46.721227
S,breakdown,1.0,GA,47.553172,1.002256,47.553172
S,breakdown,1.0,LNS,49.533642,1.002465,49.533642
S,breakdown,1.0,MOEA-NSGA2,46.490034,1.004137,46.490034
S,breakdown,1.0,MOR,61.335108,0.000008,61.335108
S,breakdown,1.0,MachineRank,56.361217,0.000067,56.361217
S,breakdown,1.0,SA,49.851175,1.003215,49.851175
S,breakdown,10.0,B-CORE,49.452725,0.000264,49.452725
S,breakdown,10.0,B-CORE-no-bottleneck,53.290138,0.000207,53.290138
S,breakdown,10.0,B-CORE-no-graph,49.452725,0.000213,49.452725
S,breakdown,10.0,DCGA,46.498185,9.995047,46.498185
S,breakdown,10.0,GA,45.605111,10.003209,45.605111
S,breakdown,10.0,LNS,45.943229,2.744779,45.943229
S,breakdown,10.0,MOEA-NSGA2,45.336064,10.004035,45.336064
S,breakdown,10.0,MOR,61.335108,0.000007,61.335108
S,breakdown,10.0,MachineRank,56.361217,0.000072,56.361217
S,breakdown,10.0,SA,46.002909,2.828958,46.002909
S,breakdown,5.0,B-CORE,49.452725,0.000233,49.452725
S,breakdown,5.0,B-CORE-no-bottleneck,53.290138,0.000231,53.290138
S,breakdown,5.0,B-CORE-no-graph,49.452725,0.000254,49.452725
S,breakdown,5.0,DCGA,46.498185,5.003178,46.498185
S,breakdown,5.0,GA,46.122890,5.004214,46.122890
S,breakdown,5.0,LNS,45.943229,2.815724,45.943229
S,breakdown,5.0,MOEA-NSGA2,45.360775,5.003623,45.360775
S,breakdown,5.0,MOR,61.335108,0.000009,61.335108
S,breakdown,5.0,MachineRank,56.361217,0.000073,56.361217
S,breakdown,5.0,SA,46.002909,2.710988,46.002909
S,mixed,0.1,B-CORE,56.553522,0.000238,56.553522
S,mixed,0.1,B-CORE-no-bottleneck,56.619980,0.000222,56.619980
S,mixed,0.1,B-CORE-no-graph,56.553522,0.000231,56.553522
S,mixed,0.1,DCGA,56.772481,0.105071,56.772481
S,mixed,0.1,GA,58.308940,0.104007,58.308940
S,mixed,0.1,LNS,62.381929,0.102626,62.381929
S,mixed,0.1,MOEA-NSGA2,58.117853,0.104617,58.117853
S,mixed,0.1,MOR,60.538322,0.000009,60.538322
S,mixed,0.1,MachineRank,59.639114,0.000056,59.639114
S,mixed,0.1,SA,61.515656,0.103902,61.515656
S,mixed,0.5,B-CORE,56.553522,0.000261,56.553522
S,mixed,0.5,B-CORE-no-bottleneck,56.619980,0.000257,56.619980
S,mixed,0.5,B-CORE-no-graph,56.553522,0.000245,56.553522
S,mixed,0.5,DCGA,51.721031,0.504076,51.721031
S,mixed,0.5,GA,52.472849,0.504225,52.472849
S,mixed,0.5,LNS,56.173894,0.504496,56.173894
S,mixed,0.5,MOEA-NSGA2,52.428042,0.504743,52.428042
S,mixed,0.5,MOR,60.538322,0.000010,60.538322
S,mixed,0.5,MachineRank,59.639114,0.000064,59.639114
S,mixed,0.5,SA,53.490104,0.503188,53.490104
S,mixed,1.0,B-CORE,56.553522,0.000213,56.553522
S,mixed,1.0,B-CORE-no-bottleneck,56.619980,0.000211,56.619980
S,mixed,1.0,B-CORE-no-graph,56.553522,0.000222,56.553522
S,mixed,1.0,DCGA,51.555061,1.004264,51.555061
S,mixed,1.0,GA,50.177831,1.004777,50.177831
S,mixed,1.0,LNS,52.386918,1.003016,52.386918
S,mixed,1.0,MOEA-NSGA2,52.746913,1.003719,52.746913
S,mixed,1.0,MOR,60.538322,0.000009,60.538322
S,mixed,1.0,MachineRank,59.639114,0.000057,59.639114
S,mixed,1.0,SA,55.038292,1.004884,55.038292
S,mixed,10.0,B-CORE,56.553522,0.000262,56.553522
S,mixed,10.0,B-CORE-no-bottleneck,56.619980,0.000216,56.619980
S,mixed,10.0,B-CORE-no-graph,56.553522,0.000219,56.553522
S,mixed,10.0,DCGA,48.829153,9.983965,48.829153
S,mixed,10.0,GA,47.377697,9.996427,47.377697
S,mixed,10.0,LNS,49.838194,2.820888,49.838194
S,mixed,10.0,MOEA-NSGA2,47.972566,10.003362,47.972566
S,mixed,10.0,MOR,60.538322,0.000009,60.538322
S,mixed,10.0,MachineRank,59.639114,0.000057,59.639114
S,mixed,10.0,SA,53.339857,2.821129,53.339857
S,mixed,5.0,B-CORE,56.553522,0.000258,56.553522
S,mixed,5.0,B-CORE-no-bottleneck,56.619980,0.000255,56.619980
S,mixed,5.0,B-CORE-no-graph,56.553522,0.000255,56.553522
S,mixed,5.0,DCGA,49.770292,5.003836,49.770292
S,mixed,5.0,GA,47.701460,5.004045,47.701460
S,mixed,5.0,LNS,49.838194,2.789881,49.838194
S,mixed,5.0,MOEA-NSGA2,47.497697,5.004048,47.497697
S,mixed,5.0,MOR,60.538322,0.000009,60.538322
S,mixed,5.0,MachineRank,59.639114,0.000066,59.639114
S,mixed,5.0,SA,53.339857,2.782998,53.339857
S,rush_job,0.1,B-CORE,51.444505,0.000246,51.444505
S,rush_job,0.1,B-CORE-no-bottleneck,54.933893,0.000240,54.933893
S,rush_job,0.1,B-CORE-no-graph,51.444505,0.000246,51.444505
S,rush_job,0.1,DCGA,53.895536,0.103811,53.895536
S,rush_job,0.1,GA,54.352987,0.103802,54.352987
S,rush_job,0.1,LNS,56.683795,0.103831,56.683795
S,rush_job,0.1,MOEA-NSGA2,53.669689,0.103989,53.669689
S,rush_job,0.1,MOR,61.770297,0.000009,61.770297
S,rush_job,0.1,MachineRank,59.385754,0.000058,59.385754
S,rush_job,0.1,SA,60.112542,0.104291,60.112542
S,rush_job,0.5,B-CORE,51.444505,0.000257,51.444505
S,rush_job,0.5,B-CORE-no-bottleneck,54.933893,0.000238,54.933893
S,rush_job,0.5,B-CORE-no-graph,51.444505,0.000267,51.444505
S,rush_job,0.5,DCGA,50.427145,0.503678,50.427145
S,rush_job,0.5,GA,50.596761,0.504720,50.596761
S,rush_job,0.5,LNS,50.965268,0.503649,50.965268
S,rush_job,0.5,MOEA-NSGA2,50.290905,0.504581,50.290905
S,rush_job,0.5,MOR,61.770297,0.000013,61.770297
S,rush_job,0.5,MachineRank,59.385754,0.000057,59.385754
S,rush_job,0.5,SA,52.078970,0.503385,52.078970
S,rush_job,1.0,B-CORE,51.444505,0.000264,51.444505
S,rush_job,1.0,B-CORE-no-bottleneck,54.933893,0.000244,54.933893
S,rush_job,1.0,B-CORE-no-graph,51.444505,0.000228,51.444505
S,rush_job,1.0,DCGA,48.352677,1.003819,48.352677
S,rush_job,1.0,GA,48.106966,1.003672,48.106966
