scale,event_type,budget_sec,algorithm,n_rows,n_metric_rows,mean,std,median,min,max
M,rush_job,1.0,DCGA,5,5,81.361320,12.155863,86.670582,67.569747,92.482529
M,rush_job,1.0,GA,5,5,81.236341,9.466847,79.756220,71.868544,95.581047
M,rush_job,1.0,LNS,5,5,83.638666,14.457491,88.732362,67.314189,100.122554
M,rush_job,1.0,MOEA-NSGA2,5,5,83.151759,7.645564,84.202249,73.826091,92.558714
M,rush_job,1.0,MOR,5,5,94.050877,7.013328,91.001036,87.525776,102.547344
M,rush_job,1.0,MachineRank,5,5,88.418247,9.091640,92.247902,72.161943,92.870691
M,rush_job,1.0,SA,5,5,88.929477,15.277180,83.142563,76.400428,114.665895
M,rush_job,10.0,B-CORE,5,5,76.694122,8.033357,75.999835,67.368544,89.509742
M,rush_job,10.0,B-CORE-no-bottleneck,5,5,76.949574,4.428497,75.504564,73.557488,84.639603
M,rush_job,10.0,B-CORE-no-graph,5,5,76.694122,8.033357,75.999835,67.368544,89.509742
M,rush_job,10.0,DCGA,5,5,70.107018,9.155648,70.863800,60.964641,82.073240
M,rush_job,10.0,GA,5,5,71.402310,7.479440,69.923915,62.168825,80.393559
M,rush_job,10.0,LNS,5,5,76.858264,8.451993,76.085803,68.569122,90.718977
M,rush_job,10.0,MOEA-NSGA2,5,5,73.408433,9.943817,70.870851,61.841918,84.307647
M,rush_job,10.0,MOR,5,5,94.050877,7.013328,91.001036,87.525776,102.547344
M,rush_job,10.0,MachineRank,5,5,88.418247,9.091640,92.247902,72.161943,92.870691
M,rush_job,10.0,SA,5,5,76.638705,7.344236,74.795937,70.084651,86.879637
M,rush_job,5.0,B-CORE,5,5,76.694122,8.033357,75.999835,67.368544,89.509742
M,rush_job,5.0,B-CORE-no-bottleneck,5,5,76.949574,4.428497,75.504564,73.557488,84.639603
M,rush_job,5.0,B-CORE-no-graph,5,5,76.694122,8.033357,75.999835,67.368544,89.509742
M,rush_job,5.0,DCGA,5,5,73.013586,10.655345,70.893290,60.446101,88.607029
M,rush_job,5.0,GA,5,5,73.395321,9.768531,72.693266,60.082561,85.013243
M,rush_job,5.0,LNS,5,5,80.136537,9.381001,80.064044,71.605839,94.481675
